
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='s' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='s' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='s' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='s' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='y' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='l' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='l' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='l' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='l' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='l' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='l' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='l' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='l' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='y' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='y' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='t' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='t' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='t' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='t' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='n' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='n' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='m' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='m' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='m' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='m' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='y' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='m' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='m' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='m' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='m' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='y' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='y' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='n' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='s' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='s' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='s' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='s' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='n' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='n' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='y' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='y' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | compared=1
Baseline | pred='n' | pos_acc=1/1 (100.0%) | compared=1
CoT      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M      | pred='n' | pos_acc=1/1 (100.0%) | compared=1
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | compared=1

[Batch Summary for n_words=1]
  Baseline  : 100.00%
  CoT       : 100.00%
  L2M       : 100.00%
  L2M-DV    : 100.00%

======================================================================
num_words = 2 | batch_size = 20
Baseline | pred='ln' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='nn' | pos_acc=2/2 (100.0%) | compared=2
L2M      | pred='nn' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='nn' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='ee' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='ee' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='en' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='en' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='yt' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='yy' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='ye' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='ye' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='yt' | pos_acc=2/2 (100.0%) | compared=2
CoT      | pred='yt' | pos_acc=2/2 (100.0%) | compared=2
L2M      | pred='yt' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='yt' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='mc' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='mc' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='my' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='my' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='nn' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='nn' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='ny' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='ny' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='yt' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='yt' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='ym' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='ym' | pos_acc=2/2 (100.0%) | compared=2
Baseline | pred='rr' | pos_acc=1/2 (50.0%) | compared=2
CoT      | pred='rr' | pos_acc=1/2 (50.0%) | compared=2
L2M      | pred='rn' | pos_acc=2/2 (100.0%) | compared=2
L2M-DV   | pred='rn' | pos_acc=2/2 (100.0%) | compared=2
