
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 1.60s
CoT      | pred='s' | pos_acc=1/1 (100.0%) | 369tok | 1.37s
L2M      | pred='s' | pos_acc=1/1 (100.0%) | 495tok | 2.47s
L2M-DV   | pred='s' | pos_acc=1/1 (100.0%) | 730tok | 2.97s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.37s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 2.71s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 510tok | 2.00s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 728tok | 2.77s
Baseline | pred='l' | pos_acc=1/1 (100.0%) | 344tok | 0.99s
CoT      | pred='l' | pos_acc=1/1 (100.0%) | 369tok | 1.04s
L2M      | pred='l' | pos_acc=1/1 (100.0%) | 495tok | 1.15s
L2M-DV   | pred='l' | pos_acc=1/1 (100.0%) | 700tok | 2.22s
Baseline | pred='l' | pos_acc=1/1 (100.0%) | 343tok | 0.91s
CoT      | pred='l' | pos_acc=1/1 (100.0%) | 368tok | 0.77s
L2M      | pred='l' | pos_acc=1/1 (100.0%) | 510tok | 1.40s
L2M-DV   | pred='l' | pos_acc=1/1 (100.0%) | 698tok | 2.33s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.78s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.94s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 510tok | 1.75s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 698tok | 3.20s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 345tok | 0.73s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 370tok | 0.75s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 496tok | 1.36s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 729tok | 2.42s
Baseline | pred='t' | pos_acc=1/1 (100.0%) | 343tok | 0.95s
CoT      | pred='t' | pos_acc=1/1 (100.0%) | 368tok | 0.89s
L2M      | pred='t' | pos_acc=1/1 (100.0%) | 494tok | 1.37s
L2M-DV   | pred='t' | pos_acc=1/1 (100.0%) | 725tok | 2.18s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 0.80s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 0.88s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 495tok | 1.29s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 701tok | 1.86s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 343tok | 1.00s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 368tok | 1.20s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 494tok | 1.28s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 727tok | 2.15s
Baseline | pred='m' | pos_acc=1/1 (100.0%) | 344tok | 0.93s
CoT      | pred='m' | pos_acc=1/1 (100.0%) | 369tok | 0.70s
L2M      | pred='m' | pos_acc=1/1 (100.0%) | 495tok | 0.95s
L2M-DV   | pred='m' | pos_acc=1/1 (100.0%) | 728tok | 2.33s
Baseline | pred='m' | pos_acc=1/1 (100.0%) | 346tok | 0.86s
CoT      | pred='m' | pos_acc=1/1 (100.0%) | 371tok | 0.83s
L2M      | pred='m' | pos_acc=1/1 (100.0%) | 497tok | 1.08s
L2M-DV   | pred='m' | pos_acc=1/1 (100.0%) | 732tok | 2.97s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 345tok | 1.37s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 370tok | 1.16s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 496tok | 1.24s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 730tok | 2.30s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.76s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 1.17s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 515tok | 2.59s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 726tok | 2.63s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 0.72s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.75s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 494tok | 1.87s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 728tok | 2.11s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 343tok | 0.66s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 368tok | 1.26s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 494tok | 0.92s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 727tok | 2.12s
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 1.59s
CoT      | pred='s' | pos_acc=1/1 (100.0%) | 369tok | 0.72s
L2M      | pred='s' | pos_acc=1/1 (100.0%) | 495tok | 1.14s
L2M-DV   | pred='s' | pos_acc=1/1 (100.0%) | 729tok | 2.70s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 0.77s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 0.86s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 495tok | 0.98s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 728tok | 2.11s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 0.95s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 0.86s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 511tok | 1.45s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 729tok | 2.35s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.18s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.72s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 510tok | 1.93s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 727tok | 3.39s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 345tok | 0.72s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 370tok | 0.72s
L2M      | pred='n' | pos_acc=1/1 (100.0%) | 496tok | 1.44s
L2M-DV   | pred='n' | pos_acc=1/1 (100.0%) | 702tok | 2.21s

### Batch Summary (n_words=1)
| Strategy | Accuracy | Tokens | Avg Time |
|----------|----------|--------|----------|
| Baseline | 100.00% | 6,876 | 1.083s |
| CoT      | 100.00% | 7,376 | 1.016s |
| L2M      | 100.00% | 9,997 | 1.482s |
| L2M-DV   | 100.00% | 14,422 | 2.467s |

======================================================================
num_words = 2 | batch_size = 20
Baseline | pred='en' | pos_acc=2/2 (100.0%) | 346tok | 1.16s
CoT      | pred='ee' | pos_acc=1/2 (50.0%) | 371tok | 0.86s
L2M      | pred='en' | pos_acc=2/2 (100.0%) | 510tok | 1.33s
L2M-DV   | pred='en' | pos_acc=2/2 (100.0%) | 715tok | 2.55s
Baseline | pred='nn' | pos_acc=2/2 (100.0%) | 344tok | 2.22s
CoT      | pred='nn' | pos_acc=2/2 (100.0%) | 369tok | 1.60s
L2M      | pred='nn' | pos_acc=2/2 (100.0%) | 504tok | 1.15s
L2M-DV   | pred='nn' | pos_acc=2/2 (100.0%) | 766tok | 3.86s
Baseline | pred='yt' | pos_acc=1/2 (50.0%) | 347tok | 1.37s
