
======================================================================
num_words = 1 | batch_size = 20
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.34s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 1.34s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 510tok | 2.02s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 757tok | 3.06s
Baseline | pred='s' | pos_acc=1/1 (100.0%) | 344tok | 1.68s
CoT      | pred='s' | pos_acc=1/1 (100.0%) | 369tok | 1.36s
L2M      | pred='s' | pos_acc=1/1 (100.0%) | 495tok | 1.50s
L2M-DV   | pred='s' | pos_acc=1/1 (100.0%) | 729tok | 4.30s
Baseline | pred='l' | pos_acc=1/1 (100.0%) | 344tok | 0.87s
CoT      | pred='l' | pos_acc=1/1 (100.0%) | 369tok | 0.70s
L2M      | pred='l' | pos_acc=1/1 (100.0%) | 503tok | 1.19s
L2M-DV   | pred='l' | pos_acc=1/1 (100.0%) | 727tok | 2.61s
Baseline | pred='l' | pos_acc=1/1 (100.0%) | 343tok | 1.90s
CoT      | pred='l' | pos_acc=1/1 (100.0%) | 368tok | 0.94s
L2M      | pred='l' | pos_acc=1/1 (100.0%) | 510tok | 1.62s
L2M-DV   | pred='l' | pos_acc=1/1 (100.0%) | 725tok | 3.49s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 343tok | 1.07s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 368tok | 0.72s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 515tok | 1.59s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 726tok | 2.92s
Baseline | pred='y' | pos_acc=1/1 (100.0%) | 345tok | 0.85s
CoT      | pred='y' | pos_acc=1/1 (100.0%) | 370tok | 0.98s
L2M      | pred='y' | pos_acc=1/1 (100.0%) | 512tok | 1.68s
L2M-DV   | pred='y' | pos_acc=1/1 (100.0%) | 730tok | 2.00s
Baseline | pred='t' | pos_acc=1/1 (100.0%) | 343tok | 0.91s
CoT      | pred='t' | pos_acc=1/1 (100.0%) | 368tok | 0.72s
L2M      | pred='t' | pos_acc=1/1 (100.0%) | 494tok | 1.86s
L2M-DV   | pred='t' | pos_acc=1/1 (100.0%) | 726tok | 2.33s
Baseline | pred='n' | pos_acc=1/1 (100.0%) | 344tok | 0.84s
CoT      | pred='n' | pos_acc=1/1 (100.0%) | 369tok | 0.75s
